Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.113
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38972230
Africa Eastern and Southern,AFE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.620547330425
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,685112705
Africa Western and Central,AFW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.6012972524141
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,466189102
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.785
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.398
Algeria,DZA,"Population, total",SP.POP.TOTL,43451666
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.6
American Samoa,ASM,"Population, total",SP.POP.TOTL,46189
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Andorra,AND,"Population, total",SP.POP.TOTL,77700
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.821
Angola,AGO,"Population, total",SP.POP.TOTL,33428486
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.961
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92664
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.61610840015073
Arab World,ARB,"Population, total",SP.POP.TOTL,449228296
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.509
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.792
Armenia,ARM,"Population, total",SP.POP.TOTL,2805608
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.69
Aruba,ABW,"Population, total",SP.POP.TOTL,106585
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.3
Australia,AUS,"Population, total",SP.POP.TOTL,25655289
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.5
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.076
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,406471
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.239
Bahrain,BHR,"Population, total",SP.POP.TOTL,1477469
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.816
Bangladesh,BGD,"Population, total",SP.POP.TOTL,167420951
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.973
Barbados,BRB,"Population, total",SP.POP.TOTL,280693
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.244
Belize,BLZ,"Population, total",SP.POP.TOTL,394921
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.364
Benin,BEN,"Population, total",SP.POP.TOTL,12643123
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.8
Bermuda,BMU,"Population, total",SP.POP.TOTL,63893
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.545
Bhutan,BTN,"Population, total",SP.POP.TOTL,772506
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.3
Bolivia,BOL,"Population, total",SP.POP.TOTL,11936162
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.094
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3318407
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.95
Botswana,BWA,"Population, total",SP.POP.TOTL,2546402
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.42
Brazil,BRA,"Population, total",SP.POP.TOTL,213196304
British Virgin Islands,VGB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.38
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30910
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.975
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,441725
Bulgaria,BGR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,18
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Burkina Faso,BFA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.813
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21522626
Burundi,BDI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.562
Burundi,BDI,"Population, total",SP.POP.TOTL,12220227
Cabo Verde,CPV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.692
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,582640
Cambodia,KHM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.228
Cambodia,KHM,"Population, total",SP.POP.TOTL,16396860
Cameroon,CMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.419
Cameroon,CMR,"Population, total",SP.POP.TOTL,26491087
Canada,CAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.1
Canada,CAN,"Population, total",SP.POP.TOTL,38037204
Caribbean small states,CSS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.65821785808336
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7444768
Cayman Islands,CYM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.3
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,67311
Central African Republic,CAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.041
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5343020
Central Europe and the Baltics,CEB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.6831912936414
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102180124
Chad,TCD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.486
Chad,TCD,"Population, total",SP.POP.TOTL,16644701
Channel Islands,CHI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.47393243061603
Channel Islands,CHI,"Population, total",SP.POP.TOTL,171113
Chile,CHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.221
Chile,CHL,"Population, total",SP.POP.TOTL,19300315
China,CHN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.07
China,CHN,"Population, total",SP.POP.TOTL,1411100000
Colombia,COL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.606
Colombia,COL,"Population, total",SP.POP.TOTL,50930662
Comoros,COM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.274
Comoros,COM,"Population, total",SP.POP.TOTL,806166
"Congo, Dem. Rep.",COD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.537
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,92853164
"Congo, Rep.",COG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.923
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5702174
Costa Rica,CRI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.627
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5123105
Cote d'Ivoire,CIV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.817
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26811790
Croatia,HRV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.1
Croatia,HRV,"Population, total",SP.POP.TOTL,4047680
Cuba,CUB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.23
Cuba,CUB,"Population, total",SP.POP.TOTL,11300698
Curacao,CUW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9
Curacao,CUW,"Population, total",SP.POP.TOTL,154947
Cyprus,CYP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.93
Cyprus,CYP,"Population, total",SP.POP.TOTL,1237537
Czechia,CZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.1
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858
Denmark,DNK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.4
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Djibouti,DJI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.821
Djibouti,DJI,"Population, total",SP.POP.TOTL,1090156
Dominica,DMA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Dominica,DMA,"Population, total",SP.POP.TOTL,71995
Dominican Republic,DOM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.46
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10999664
Early-demographic dividend,EAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.15549242393579
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3375134276
East Asia & Pacific,EAS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.38373766935123
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2363940425
East Asia & Pacific (excluding high income),EAP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.22466000365266
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2116424876
East Asia & Pacific (IDA & IBRD countries),TEA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.2017626552151
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2090523535
Ecuador,ECU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.534
Ecuador,ECU,"Population, total",SP.POP.TOTL,17588595
"Egypt, Arab Rep.",EGY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.851
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,107465134
El Salvador,SLV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.442
El Salvador,SLV,"Population, total",SP.POP.TOTL,6292731
Equatorial Guinea,GNQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.026
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1596049
Eritrea,ERI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.424
Eritrea,ERI,"Population, total",SP.POP.TOTL,3555868
Estonia,EST,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.9
Estonia,EST,"Population, total",SP.POP.TOTL,1329522
Eswatini,SWZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.603
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1180655
Ethiopia,ETH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.616
Ethiopia,ETH,"Population, total",SP.POP.TOTL,117190911
Euro area,EMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.1334854427858
Euro area,EMU,"Population, total",SP.POP.TOTL,342913447
Europe & Central Asia,ECS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.2647514137946
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,923103879
Europe & Central Asia (excluding high income),ECA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.2465556798455
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,400811771
Europe & Central Asia (IDA & IBRD countries),TEC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.5557632632911
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,462023771
European Union,EUU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.6104599633568
European Union,EUU,"Population, total",SP.POP.TOTL,447692315
Faroe Islands,FRO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52415
Fiji,FJI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.078
Fiji,FJI,"Population, total",SP.POP.TOTL,920422
Finland,FIN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10
Finland,FIN,"Population, total",SP.POP.TOTL,5529543
Fragile and conflict affected situations,FCS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.27105460550124
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,979418527
France,FRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.9
France,FRA,"Population, total",SP.POP.TOTL,67571107
French Polynesia,PYF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.859
French Polynesia,PYF,"Population, total",SP.POP.TOTL,301920
Gabon,GAB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.909
Gabon,GAB,"Population, total",SP.POP.TOTL,2292573
"Gambia, The",GMB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.373
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2573995
Georgia,GEO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.976
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716
Germany,DEU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.9
Germany,DEU,"Population, total",SP.POP.TOTL,83160871
Ghana,GHA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.448
Ghana,GHA,"Population, total",SP.POP.TOTL,32180401
Gibraltar,GIB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.685
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32709
Greece,GRC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.2
Greece,GRC,"Population, total",SP.POP.TOTL,10698599
Greenland,GRL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.2
Greenland,GRL,"Population, total",SP.POP.TOTL,56367
Grenada,GRD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.061
Grenada,GRD,"Population, total",SP.POP.TOTL,123663
Guam,GUM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.178
Guam,GUM,"Population, total",SP.POP.TOTL,169231
Guatemala,GTM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.337
Guatemala,GTM,"Population, total",SP.POP.TOTL,16858333
Guinea,GIN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.847
Guinea,GIN,"Population, total",SP.POP.TOTL,13205153
Guinea-Bissau,GNB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.574
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2015828
Guyana,GUY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.026
Guyana,GUY,"Population, total",SP.POP.TOTL,797202
Haiti,HTI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.176
Haiti,HTI,"Population, total",SP.POP.TOTL,11306801
Heavily indebted poor countries (HIPC),HPC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.71060152176083
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,838066650
High income,HIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.86301211092248
High income,HIC,"Population, total",SP.POP.TOTL,1240900955
Honduras,HND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.945
Honduras,HND,"Population, total",SP.POP.TOTL,10121763
"Hong Kong SAR, China",HKG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.8
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481000
Hungary,HUN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.5
Hungary,HUN,"Population, total",SP.POP.TOTL,9750149
IBRD only,IBD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
IBRD only,IBD,"Population, total",SP.POP.TOTL,..
Iceland,ISL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.3
Iceland,ISL,"Population, total",SP.POP.TOTL,366463
IDA & IBRD total,IBT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.73291078722258
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6628067973
IDA blend,IDB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
IDA blend,IDB,"Population, total",SP.POP.TOTL,..
IDA only,IDX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
IDA only,IDX,"Population, total",SP.POP.TOTL,..
IDA total,IDA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
IDA total,IDA,"Population, total",SP.POP.TOTL,..
India,IND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.35
India,IND,"Population, total",SP.POP.TOTL,1396387127
Indonesia,IDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.964
Indonesia,IDN,"Population, total",SP.POP.TOTL,271857970
"Iran, Islamic Rep.",IRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.567
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,87290193
Iraq,IRQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.239
Iraq,IRQ,"Population, total",SP.POP.TOTL,42556984
Ireland,IRL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.4
Ireland,IRL,"Population, total",SP.POP.TOTL,4985382
Isle of Man,IMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.414
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84046
Israel,ISR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.3
Israel,ISR,"Population, total",SP.POP.TOTL,9215100
Italy,ITA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.6
Italy,ITA,"Population, total",SP.POP.TOTL,59438851
Jamaica,JAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.583
Jamaica,JAM,"Population, total",SP.POP.TOTL,2820436
Japan,JPN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.1
Japan,JPN,"Population, total",SP.POP.TOTL,126261000
Jordan,JOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.475
Jordan,JOR,"Population, total",SP.POP.TOTL,10928721
Kazakhstan,KAZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.6
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18755666
Kenya,KEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.456
Kenya,KEN,"Population, total",SP.POP.TOTL,51985780
Kiribati,KIR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.242
Kiribati,KIR,"Population, total",SP.POP.TOTL,126463
"Korea, Dem. People's Rep.",PRK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.078
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25867467
"Korea, Rep.",KOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.9
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239
Kosovo,XKX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.505
Kosovo,XKX,"Population, total",SP.POP.TOTL,1790133
Kuwait,KWT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.254
Kuwait,KWT,"Population, total",SP.POP.TOTL,4360444
Kyrgyz Republic,KGZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.1
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6579900
Lao PDR,LAO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.366
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7319399
Late-demographic dividend,LTE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.72211348113139
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2317277311
Latin America & Caribbean,LCN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.76545702484399
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,650534967
Latin America & Caribbean (excluding high income),LAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.78634077953752
