Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,588808380
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.71123571425348
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,634680385
Latvia,LVA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.2
Latvia,LVA,"Population, total",SP.POP.TOTL,1900449
Least developed countries: UN classification,LDC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.41817909188736
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1073743450
Lebanon,LBN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.253
Lebanon,LBN,"Population, total",SP.POP.TOTL,5662923
Lesotho,LSO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.858
Lesotho,LSO,"Population, total",SP.POP.TOTL,2254100
Liberia,LBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.753
Liberia,LBR,"Population, total",SP.POP.TOTL,5087584
Libya,LBY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.598
Libya,LBY,"Population, total",SP.POP.TOTL,6653942
Liechtenstein,LIE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.2
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38756
Lithuania,LTU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.6
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794885
Low & middle income,LMY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.68737517544042
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6551590116
Low income,LIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.80140718878229
Low income,LIC,"Population, total",SP.POP.TOTL,699186538
Lower middle income,LMC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.60249708148355
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3357118135
Luxembourg,LUX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3
Luxembourg,LUX,"Population, total",SP.POP.TOTL,630419
"Macao SAR, China",MAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.047
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,676283
Madagascar,MDG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.801
Madagascar,MDG,"Population, total",SP.POP.TOTL,28225177
Malawi,MWI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.706
Malawi,MWI,"Population, total",SP.POP.TOTL,19377061
Malaysia,MYS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.311
Malaysia,MYS,"Population, total",SP.POP.TOTL,33199993
Maldives,MDV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.001
Maldives,MDV,"Population, total",SP.POP.TOTL,514438
Mali,MLI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.529
Mali,MLI,"Population, total",SP.POP.TOTL,21224040
Malta,MLT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.9
Malta,MLT,"Population, total",SP.POP.TOTL,515332
Marshall Islands,MHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,43413
Mauritania,MRT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.466
Mauritania,MRT,"Population, total",SP.POP.TOTL,4498604
Mauritius,MUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.7
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265740
Mexico,MEX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.33
Mexico,MEX,"Population, total",SP.POP.TOTL,125998302
"Micronesia, Fed. Sts.",FSM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.065
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112106
Middle East & North Africa,MEA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.28524017337296
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,479966649
Middle East & North Africa (excluding high income),MNA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.65299678779145
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,411810124
Middle East & North Africa (IDA & IBRD countries),TMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.67853507678882
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,407006855
Middle income,MIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.67375150443967
Middle income,MIC,"Population, total",SP.POP.TOTL,5852403578
Moldova,MDA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.445
Moldova,MDA,"Population, total",SP.POP.TOTL,2635130
Monaco,MCO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Monaco,MCO,"Population, total",SP.POP.TOTL,36922
Mongolia,MNG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.475
Mongolia,MNG,"Population, total",SP.POP.TOTL,3294335
Montenegro,MNE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.7
Montenegro,MNE,"Population, total",SP.POP.TOTL,621306
Morocco,MAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.073
Morocco,MAR,"Population, total",SP.POP.TOTL,36688772
Mozambique,MOZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.004
Mozambique,MOZ,"Population, total",SP.POP.TOTL,31178239
Myanmar,MMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.819
Myanmar,MMR,"Population, total",SP.POP.TOTL,53423198
Namibia,NAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.475
Namibia,NAM,"Population, total",SP.POP.TOTL,2489098
Nauru,NRU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Nauru,NRU,"Population, total",SP.POP.TOTL,12315
Nepal,NPL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.209
Nepal,NPL,"Population, total",SP.POP.TOTL,29348627
Netherlands,NLD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.7
Netherlands,NLD,"Population, total",SP.POP.TOTL,17441500
New Caledonia,NCL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.008
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271130
New Zealand,NZL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.41
New Zealand,NZL,"Population, total",SP.POP.TOTL,5090200
Nicaragua,NIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.703
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6755895
Niger,NER,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.281
Niger,NER,"Population, total",SP.POP.TOTL,24333639
Nigeria,NGA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.997
Nigeria,NGA,"Population, total",SP.POP.TOTL,208327405
North America,NAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.0733301005421
North America,NAC,"Population, total",SP.POP.TOTL,369602177
North Macedonia,MKD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.4
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2072531
Northern Mariana Islands,MNP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,49587
Norway,NOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.5
Norway,NOR,"Population, total",SP.POP.TOTL,5379475
Not classified,INX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.78865613733515
OECD members,OED,"Population, total",SP.POP.TOTL,1370241530
Oman,OMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.025
Oman,OMN,"Population, total",SP.POP.TOTL,4543399
Other small states,OSS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.4430601837363
Other small states,OSS,"Population, total",SP.POP.TOTL,32381190
Pacific island small states,PSS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.47048351095201
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2566819
Pakistan,PAK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.06
Pakistan,PAK,"Population, total",SP.POP.TOTL,227196741
Palau,PLW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.6
Palau,PLW,"Population, total",SP.POP.TOTL,17972
Panama,PAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.747
Panama,PAN,"Population, total",SP.POP.TOTL,4294396
Papua New Guinea,PNG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.402
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9749640
Paraguay,PRY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.916
Paraguay,PRY,"Population, total",SP.POP.TOTL,6618695
Peru,PER,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.327
Peru,PER,"Population, total",SP.POP.TOTL,33304756
Philippines,PHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.566
Philippines,PHL,"Population, total",SP.POP.TOTL,112190977
Poland,POL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.6
Poland,POL,"Population, total",SP.POP.TOTL,37899070
Portugal,PRT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12
Portugal,PRT,"Population, total",SP.POP.TOTL,10297081
Post-demographic dividend,PST,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.5508408866798
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1117443485
Pre-demographic dividend,PRE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.92627655047726
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,984213438
Puerto Rico,PRI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.6
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3281538
Qatar,QAT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1.219
Qatar,QAT,"Population, total",SP.POP.TOTL,2760385
Romania,ROU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.4
Romania,ROU,"Population, total",SP.POP.TOTL,19265250
Russian Federation,RUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.6
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144073139
Rwanda,RWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.998
Rwanda,RWA,"Population, total",SP.POP.TOTL,13146362
Samoa,WSM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.305
Samoa,WSM,"Population, total",SP.POP.TOTL,214929
San Marino,SMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.9
San Marino,SMR,"Population, total",SP.POP.TOTL,34007
Sao Tome and Principe,STP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.294
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,218641
Saudi Arabia,SAU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.913
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35997107
Senegal,SEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.584
Senegal,SEN,"Population, total",SP.POP.TOTL,16436120
Serbia,SRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.9
Serbia,SRB,"Population, total",SP.POP.TOTL,6899126
Seychelles,SYC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.8
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462
Sierra Leone,SLE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.296
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8233970
Singapore,SGP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.2
Singapore,SGP,"Population, total",SP.POP.TOTL,5685807
Sint Maarten (Dutch part),SXM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,42310
Slovak Republic,SVK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.8
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827
Slovenia,SVN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.4
Slovenia,SVN,"Population, total",SP.POP.TOTL,2102419
Small states,SST,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.42254328469969
Small states,SST,"Population, total",SP.POP.TOTL,42392777
Solomon Islands,SLB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.082
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,691191
Somalia,SOM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.39
Somalia,SOM,"Population, total",SP.POP.TOTL,16537016
South Africa,ZAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.425
South Africa,ZAF,"Population, total",SP.POP.TOTL,58801927
South Asia,SAS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.16652966188531
South Asia,SAS,"Population, total",SP.POP.TOTL,1882531620
South Asia (IDA & IBRD),TSA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.16652966188531
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1882531620
South Sudan,SSD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.759
South Sudan,SSD,"Population, total",SP.POP.TOTL,10606227
Spain,ESP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.4
Spain,ESP,"Population, total",SP.POP.TOTL,47365655
Sri Lanka,LKA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.056
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000
St. Kitts and Nevis,KNA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47642
St. Lucia,LCA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.205
St. Lucia,LCA,"Population, total",SP.POP.TOTL,179237
St. Martin (French part),MAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.788
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,32553
St. Vincent and the Grenadines,VCT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.038
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,104632
Sub-Saharan Africa,SSF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.82752287842627
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1151301807
Sub-Saharan Africa (excluding high income),SSA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.82769629171465
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1151203345
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.82752287842627
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1151301807
Sudan,SDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.67
Sudan,SDN,"Population, total",SP.POP.TOTL,44440486
Suriname,SUR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.036
Suriname,SUR,"Population, total",SP.POP.TOTL,607065
Sweden,SWE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.5
Sweden,SWE,"Population, total",SP.POP.TOTL,10353442
Switzerland,CHE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.8
Switzerland,CHE,"Population, total",SP.POP.TOTL,8638167
Syrian Arab Republic,SYR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.99
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20772595
Tajikistan,TJK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.121
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9543207
Tanzania,TZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.179
Tanzania,TZA,"Population, total",SP.POP.TOTL,61704518
Thailand,THA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.264
Thailand,THA,"Population, total",SP.POP.TOTL,71475664
Timor-Leste,TLS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.831
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1299995
Togo,TGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.417
Togo,TGO,"Population, total",SP.POP.TOTL,8442580
Tonga,TON,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.946
Tonga,TON,"Population, total",SP.POP.TOTL,105254
Trinidad and Tobago,TTO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.9
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1518147
Tunisia,TUN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.752
Tunisia,TUN,"Population, total",SP.POP.TOTL,12161723
Turkiye,TUR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.378
Turkiye,TUR,"Population, total",SP.POP.TOTL,84135428
Turkmenistan,TKM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.836
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6250438
Turks and Caicos Islands,TCA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.823
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,44276
Tuvalu,TUV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.188
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11069
Uganda,UGA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.852
Uganda,UGA,"Population, total",SP.POP.TOTL,44404611
Ukraine,UKR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.9
Ukraine,UKR,"Population, total",SP.POP.TOTL,44132049
United Arab Emirates,ARE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1.766
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9287289
United Kingdom,GBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.4
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67081000
United States,USA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3
United States,USA,"Population, total",SP.POP.TOTL,331501080
Upper middle income,UMC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.7696205282535
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2495285443
Uruguay,URY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.432
Uruguay,URY,"Population, total",SP.POP.TOTL,3429086
Uzbekistan,UZB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.1
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,34232050
Vanuatu,VUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.487
Vanuatu,VUT,"Population, total",SP.POP.TOTL,311685
"Venezuela, RB",VEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.575
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28490453
Vietnam,VNM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.169
Vietnam,VNM,"Population, total",SP.POP.TOTL,96648685
Virgin Islands (U.S.),VIR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.4
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290
West Bank and Gaza,PSE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.489
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4803269
World,WLD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.03210175657131
World,WLD,"Population, total",SP.POP.TOTL,7820981524
"Yemen, Rep.",YEM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.509
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,32284046
Zambia,ZMB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.602
Zambia,ZMB,"Population, total",SP.POP.TOTL,18927715
Zimbabwe,ZWE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.132
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15669666
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 12/23/2022,,,,
